"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.29032258","0.04269433","0.775","0.48531469","66","66","2","false","bglB_b3721_15","35.16666667","66","0","0","0.92741935","false","0","bglB_b3721_15","3812","0.3781362"
"1.84946237","1.6707E-4","0.54069767","0.92156863","18","18","3","false","arpA_b4017_15","49.11111111","18","0","0","0.78763441","false","0","arpA_b4017_15","26","0.55181024"
"1.83870968","0.00303055","0.54385965","0.68831169","22","22","3","false","aslA_b3801_14","40.18181818","22","0","0","0.79032258","false","0","aslA_b3801_14","310","0.46723044"
"1.43010753","0.01328172","0.69924812","0.61076171","54","54","3","false","bglG_b3723_14","39.53703704","54","0","0","0.89247312","false","0","bglG_b3723_14","1902","0.4297504"
"2.0","0.00220459","0.5","0.83333333","4","4","3","false","bglH_b3720_14","10.5","4","0","0","0.75","false","0","bglH_b3720_14","6","0.4375"
"1.96428571","0.01987858","0.50909091","0.6","5","5","3","false","bglF_b3722_14","8.6","5","0","0","0.75892857","false","0","bglF_b3722_14","46","0.35833333"
"2.07027027","4.8181E-4","0.48302872","0.6734143","39","39","4","false","bioA_b0774_15","102.17948718","39","0","0","0.78594595","false","0","bioA_b0774_15","3300","0.33391989"
"1.0","0.0","1.0","0.0","1","1","1","false","bioD_b0778_9","1.0","1","0","0","1.0","false","0","bioD_b0778_9","0","0.0"
"1.0","0.0","1.0","0.0","1","1","1","false","bioC_b0777_3","1.0","1","0","0","1.0","false","0","bioC_b0777_3","0","0.0"
"1.85714286","0.01070539","0.53846154","0.73573574","37","37","3","false","bioF_b0776_14","70.89189189","37","0","0","0.78571429","false","0","bioF_b0776_14","7256","0.51001361"
"2.56493506","0.0","0.38987342","1.0","2","2","4","false","asnB_b0674_14","49.5","2","0","0","0.60876623","false","0","asnB_b0674_14","0","0.66891892"
"2.35","7.3544E-4","0.42553191","0.68253968","28","28","4","false","blc_b4149_15","47.60714286","28","0","0","0.73","false","0","blc_b4149_15","860","0.39022248"
"2.29545455","0.00224912","0.43564356","0.65242165","27","27","4","false","bcsC_b3530_14","48.25925926","27","0","0","0.74090909","false","0","bcsC_b3530_14","4554","0.35484749"
"2.00454545","0.00244418","0.49886621","0.68960864","39","39","3","false","bfr_b3336_14","66.23076923","39","0","0","0.79909091","false","0","bfr_b3336_14","9366","0.36794872"
"3.04782609","0.0","0.32810271","1.0","2","2","5","false","borD_b0557_14","35.0","2","0","0","0.59043478","false","0","borD_b0557_14","0","0.546875"
"1.82758621","0.02366611","0.54716981","0.5","8","8","3","false","btuE_b1710_14","10.5","8","0","0","0.79310345","false","0","btuE_b1710_14","80","0.415"
"2.20689655","0.00424877","0.453125","0.5","5","5","4","false","btuD_b1709_15","9.0","5","0","0","0.69827586","false","0","btuD_b1709_15","16","0.48888889"
"2.00810811","0.00636402","0.49798116","0.58163265","49","49","3","false","btuR_b1270_15","85.81632653","49","0","0","0.79837838","false","0","btuR_b1270_15","27968","0.26986266"
"1.0","0.0","1.0","1.0","2","2","1","false","cadB_b4132_14","2.0","2","0","0","1.0","false","0","cadB_b4132_14","0","1.0"
"1.0","0.0","1.0","1.0","2","2","1","false","cadA_b4131_15","2.0","2","0","0","1.0","false","0","cadA_b4131_15","0","1.0"
"1.3902439","0.13158263","0.71929825","0.45666667","25","25","2","false","caiD_b0036_14","13.88","25","0","0","0.90243902","false","0","caiD_b0036_14","792","0.33853659"
"1.87804878","0.00253318","0.53246753","0.83636364","11","11","3","false","aes_b0476_14","17.90909091","11","0","0","0.7804878","false","0","aes_b0476_14","42","0.51168831"
"1.0","0.66666667","1.0","0.33333333","3","3","1","false","caiE_b0035_15","1.66666667","3","0","0","1.0","false","0","caiE_b0035_15","4","0.66666667"
"1.33333333","0.0","0.75","1.0","2","2","2","false","caiC_b0037_15","2.5","2","0","0","0.83333333","false","0","caiC_b0037_15","0","0.83333333"
"1.7804878","0.00881009","0.56164384","0.74545455","11","11","3","false","caiT_b0040_15","16.09090909","11","0","0","0.80487805","false","0","caiT_b0040_15","110","0.41258741"
"2.45454545","0.0","0.40740741","1.0","5","5","4","false","carB_b0033_15","24.2","5","0","0","0.63636364","false","0","carB_b0033_15","0","0.29512195"
"2.44155844","3.395E-5","0.40957447","0.9047619","7","7","4","false","carA_b0032_15","33.14285714","7","0","0","0.63961039","false","0","carA_b0032_15","4","0.40418118"
"1.41176471","0.0","0.70833333","1.0","10","10","2","false","cbl_b1987_15","13.4","10","0","0","0.8627451","false","0","cbl_b1987_15","0","0.78823529"
"1.11764706","0.13258053","0.89473684","0.74285714","15","15","2","false","amtB_b0451_15","11.8","15","0","0","0.96078431","false","0","amtB_b0451_15","70","0.73333333"
"1.95","0.01386006","0.51282051","0.54152824","43","43","4","false","cbpA_b1000_15","63.11627907","43","0","0","0.81","false","0","cbpA_b1000_15","32308","0.33394857"
"1.9","0.01717775","0.52631579","0.56887755","49","49","4","false","aidB_b4187_15","66.34693878","49","0","0","0.82","false","0","aidB_b4187_15","45416","0.34199453"
"1.30769231","0.0","0.76470588","1.0","10","10","3","false","cbpM_b0999_14","11.1","10","0","0","0.8974359","false","0","cbpM_b0999_14","0","0.925"
"1.61290323","0.00333906","0.62","0.77692308","40","40","3","false","cbrA_b3690_15","44.3","40","0","0","0.84677419","false","0","cbrA_b3690_15","710","0.49775281"
"1.0","0.0","1.0","0.0","1","1","1","false","cbrC_b3717_15","1.0","1","0","0","1.0","false","0","cbrC_b3717_15","0","0.0"
"1.0","0.0","1.0","0.0","1","1","1","false","cbrB_b3716_15","1.0","1","0","0","1.0","false","0","cbrB_b3716_15","0","0.0"
"1.4","0.07777778","0.71428571","0.53333333","6","6","2","false","ccmC_b2199_15","4.83333333","6","0","0","0.86666667","false","0","ccmC_b2199_15","18","0.48333333"
"1.7","0.0","0.58823529","1.0","3","3","2","false","ccmB_b2200_14","7.0","3","0","0","0.76666667","false","0","ccmB_b2200_14","0","0.7"
